doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end
,,,,Egypt braced for further unrest on Friday with supporters of deposed president Mohammed Mursi calling for mass protests against the army takeover .,مصر برای ناآرامی های بیشتری در روز جمعه با حامیان محمد مورسی رئیس جمهور سرنگون شده آماده می شد و خواستار اعتراضات گسترده علیه سلطه ارتش شد .,deposed president Mohammed Mursi,محمد مورسی رئیس جمهور سرنگون شده,"['محمد', 'مورسی', 'رئیس', 'جمهور', 'سرنگون', 'شده']",10,15,50,82
,,,,Egypt braced for further unrest on Friday with supporters of deposed president Mohammed Mursi calling for mass protests against the army takeover .,مصر برای ناآرامی های بیشتری در روز جمعه با حامیان محمد مورسی رئیس جمهور سرنگون شده آماده می شد و خواستار اعتراضات گسترده علیه سلطه ارتش شد .,calling for,خواستار,['خواستار'],20,20,97,104
,,,,Brotherhood supporters say the real figure is far higher .,طرفداران انجمن اخوت می گویند که رقم واقعی بسیار بیشتر است .,Brotherhood supporters,طرفداران انجمن اخوت,"['طرفداران', 'انجمن', 'اخوت']",0,2,0,19
,,,,Brotherhood supporters say the real figure is far higher .,طرفداران انجمن اخوت می گویند که رقم واقعی بسیار بیشتر است .,say,می گویند,"['می', 'گویند']",3,4,20,28
,,,,"Barro said the main opposition and civil society movement against Wade , the June 23 Movement ( M23 ) was also planning further activities in coming days .",بارو گفت که اصلی ترین مخالفین و جنبش جامعه مدنی علیه وید جنبش ۲۳ ژوئن ( M23 ) نیز در روزهای آتی برنامه ریزی کرده اند .,the June 23 Movement,جنبش ۲۳ ژوئن,"['جنبش', '۲۳', 'ژوئن']",12,14,57,69
,,,,"Barro said the main opposition and civil society movement against Wade , the June 23 Movement ( M23 ) was also planning further activities in coming days .",بارو گفت که اصلی ترین مخالفین و جنبش جامعه مدنی علیه وید جنبش ۲۳ ژوئن ( M23 ) نیز در روزهای آتی برنامه ریزی کرده اند .,planning,برنامه ریزی,"['برنامه', 'ریزی']",22,23,96,107
,,,,"Barro said the main opposition and civil society movement against Wade , the June 23 Movement ( M23 ) was also planning further activities in coming days .",بارو گفت که اصلی ترین مخالفین و جنبش جامعه مدنی علیه وید جنبش ۲۳ ژوئن ( M23 ) نیز در روزهای آتی برنامه ریزی کرده اند .,activities,,[],0,0,0,0
,,,,"On Wednesday , Egypt launched a brutal crackdown on thousands of peaceful protesters in Cairo demanding the reinstatement of Mursi .",در روز چهارشنبه ، مصر فشار بی رحمانه ای را بر روی هزاران معترض صلح آمیز در قاهره آغاز کرد و خواستار بازگشت مرسی شد .,thousands of peaceful protesters,هزاران معترض صلح آمیز,"['هزاران', 'معترض', 'صلح', 'آمیز']",12,15,50,71
,,,,"Tusk ’ s appearance comes at a time when Warsaw has been increasingly at odds with Brussels because of the PiS government ’ s controversial interference in the courts , large-scale logging in a primeval forest and a refusal to accept migrants .",حضور تاسک در زمانی اتفاق می افتد که ورشو به طور فزاینده ای با بروکسل به دلیل دخالت بحث برانگیز دولت پی اس در دادگاه ها ، قطع درختان در جنگل های اصلی و امتناع از پذیرش مهاجران در تضاد بوده است .,the PiS government,دولت پی اس,"['دولت', 'پی', 'اس']",20,22,95,105
,,,,"Tusk ’ s appearance comes at a time when Warsaw has been increasingly at odds with Brussels because of the PiS government ’ s controversial interference in the courts , large-scale logging in a primeval forest and a refusal to accept migrants .",حضور تاسک در زمانی اتفاق می افتد که ورشو به طور فزاینده ای با بروکسل به دلیل دخالت بحث برانگیز دولت پی اس در دادگاه ها ، قطع درختان در جنگل های اصلی و امتناع از پذیرش مهاجران در تضاد بوده است .,the courts,دادگاه ها,"['دادگاه', 'ها']",24,25,109,118
,,,,"Tusk ’ s appearance comes at a time when Warsaw has been increasingly at odds with Brussels because of the PiS government ’ s controversial interference in the courts , large-scale logging in a primeval forest and a refusal to accept migrants .",حضور تاسک در زمانی اتفاق می افتد که ورشو به طور فزاینده ای با بروکسل به دلیل دخالت بحث برانگیز دولت پی اس در دادگاه ها ، قطع درختان در جنگل های اصلی و امتناع از پذیرش مهاجران در تضاد بوده است .,logging,قطع درختان,"['قطع', 'درختان']",27,28,121,131
,,,,"Tusk ’ s appearance comes at a time when Warsaw has been increasingly at odds with Brussels because of the PiS government ’ s controversial interference in the courts , large-scale logging in a primeval forest and a refusal to accept migrants .",حضور تاسک در زمانی اتفاق می افتد که ورشو به طور فزاینده ای با بروکسل به دلیل دخالت بحث برانگیز دولت پی اس در دادگاه ها ، قطع درختان در جنگل های اصلی و امتناع از پذیرش مهاجران در تضاد بوده است .,a primeval forest,جنگل های اصلی,"['جنگل', 'های', 'اصلی']",30,32,135,148
,,,,Critics of ousted South Korean president Park Geun-hye have called for her arrest on Saturday ( 11 March ) a day after she was permanently removed from the presidential office for her role in a corruption scandal .,منتقدان رئیس جمهور سابق کره جنوبی ، پارک گیون هی ، روز شنبه ( یازده مارس ) ، یک روز پس از این که او به طور دائم به خاطر نقشش در یک افتضاح فساد از دفتر ریاست جمهوری برکنار شد ، خواستار دستگیری او شدند .,ousted South Korean president Park Geun-hye,رئیس جمهور سابق کره جنوبی ، پارک گیون هی ،,"['رئیس', 'جمهور', 'سابق', 'کره', 'جنوبی', '،', 'پارک', 'گیون', 'هی', '،']",1,10,8,50
,,,,The ruling followed months of political paralysis and turmoil over the corruption scandal that also found the head of the Samsung Company in trouble .,این حکم به دنبال ماه ها فلج سیاسی و آشفتگی بر سر رسوایی های فساد مالی بود که رئیس شرکت سامسونگ را نیز به دردسر انداخت .,the head of the Samsung Company,رئیس شرکت سامسونگ,"['رئیس', 'شرکت', 'سامسونگ']",18,20,77,94
,,,,The ruling followed months of political paralysis and turmoil over the corruption scandal that also found the head of the Samsung Company in trouble .,این حکم به دنبال ماه ها فلج سیاسی و آشفتگی بر سر رسوایی های فساد مالی بود که رئیس شرکت سامسونگ را نیز به دردسر انداخت .,in trouble,به دردسر,"['به', 'دردسر']",23,24,102,110
,,,,"Andimuthu Raja , a former telecommunication minister , is accused of being part of a scheme involving the underselling of cell phone licenses at the height of India &apos;s lucrative telecom boom .",آندومیتو راجا ، وزیر سابق ارتباطات از راه دور ، به عنوان بخشی از یک طرح شامل فروش پایین مجوزهای تلفن همراه در اوج شکوفایی شرکت های مخابراتی پر سود هند شناخته می شود .,accused,شناخته می شود,"['شناخته', 'می', 'شود']",31,33,151,164
,,,,"Andimuthu Raja , a former telecommunication minister , is accused of being part of a scheme involving the underselling of cell phone licenses at the height of India &apos;s lucrative telecom boom .",آندومیتو راجا ، وزیر سابق ارتباطات از راه دور ، به عنوان بخشی از یک طرح شامل فروش پایین مجوزهای تلفن همراه در اوج شکوفایی شرکت های مخابراتی پر سود هند شناخته می شود .,underselling,فروش پایین,"['فروش', 'پایین']",17,18,77,87
,,,,Norovirus cited in Olive Garden outbreak,نوروویروس ذکر شده در شیوع باغ زیتون,Olive Garden,باغ زیتون,"['باغ', 'زیتون']",5,6,26,35
,,,,The Investigative Committee said that Ulyukayev had been caught accepting the bribe .,کمیته تحقیق اعلام کرد که اولیویا کوف رشوه را پذیرفته است .,The Investigative Committee,کمیته تحقیق,"['کمیته', 'تحقیق']",0,1,0,11
,,,,The Investigative Committee said that Ulyukayev had been caught accepting the bribe .,کمیته تحقیق اعلام کرد که اولیویا کوف رشوه را پذیرفته است .,said,اعلام کرد,"['اعلام', 'کرد']",2,3,12,21
,,,,The Investigative Committee said that Ulyukayev had been caught accepting the bribe .,کمیته تحقیق اعلام کرد که اولیویا کوف رشوه را پذیرفته است .,Ulyukayev,اولیویا کوف,"['اولیویا', 'کوف']",5,6,25,36
,,,,"Rosneft declined to comment on the investigation , but said the Bashneft deal complied with Russian laws .",راستوف از اظهار نظر در این باره خودداری کرد اما گفت که معامله با باشرف با قوانین روسیه مطابقت دارد .,Rosneft,راستوف,['راستوف'],0,0,0,6
,,,,"Rosneft declined to comment on the investigation , but said the Bashneft deal complied with Russian laws .",راستوف از اظهار نظر در این باره خودداری کرد اما گفت که معامله با باشرف با قوانین روسیه مطابقت دارد .,comment,اظهار نظر,"['اظهار', 'نظر']",2,3,10,19
,,,,"Rosneft declined to comment on the investigation , but said the Bashneft deal complied with Russian laws .",راستوف از اظهار نظر در این باره خودداری کرد اما گفت که معامله با باشرف با قوانین روسیه مطابقت دارد .,investigation,,[],0,0,0,0
,,,,"A Victorian man has been charged with making corrupt payments of $ 104,000 to former Ipswich City Council chief executive Carl Wulff and his wife .",یک مرد ویکتوریایی به پرداخت 104000 دلار به مدیر اجرایی شورای شهر اکستر ، کارل وولف و همسرش متهم شده است .,A Victorian man,یک مرد ویکتوریایی,"['یک', 'مرد', 'ویکتوریایی']",0,2,0,17
,,,,"A Victorian man has been charged with making corrupt payments of $ 104,000 to former Ipswich City Council chief executive Carl Wulff and his wife .",یک مرد ویکتوریایی به پرداخت 104000 دلار به مدیر اجرایی شورای شهر اکستر ، کارل وولف و همسرش متهم شده است .,payments,پرداخت,['پرداخت'],4,4,21,27
,,,,"A Victorian man has been charged with making corrupt payments of $ 104,000 to former Ipswich City Council chief executive Carl Wulff and his wife .",یک مرد ویکتوریایی به پرداخت 104000 دلار به مدیر اجرایی شورای شهر اکستر ، کارل وولف و همسرش متهم شده است .,former Ipswich City Council chief executive Carl Wulff,مدیر اجرایی شورای شهر اکستر ، کارل وولف,"['مدیر', 'اجرایی', 'شورای', 'شهر', 'اکستر', '،', 'کارل', 'وولف']",8,15,43,82
,,,,"A Victorian man has been charged with making corrupt payments of $ 104,000 to former Ipswich City Council chief executive Carl Wulff and his wife .",یک مرد ویکتوریایی به پرداخت 104000 دلار به مدیر اجرایی شورای شهر اکستر ، کارل وولف و همسرش متهم شده است .,his wife,همسرش,['همسرش'],17,17,85,90
,,,,The 11-person council has vowed to fight to stay in power .,شورای ۱۱ نفره تصمیم گرفته تا برای باقی ماندن در قدرت مبارزه کند .,The 11-person council,شورای ۱۱ نفره,"['شورای', '۱۱', 'نفره']",0,2,0,13
,,,,The 11-person council has vowed to fight to stay in power .,شورای ۱۱ نفره تصمیم گرفته تا برای باقی ماندن در قدرت مبارزه کند .,stay in power,باقی ماندن در قدرت,"['باقی', 'ماندن', 'در', 'قدرت']",7,10,34,52
,,,,"Protesters in Sanaa , Yemen , took to the streets Sunday in an act of solidarity with protesters in Tunisia whose actions led to the president of that country fleeing .",معترضان در صنعا ، یمن روز یکشنبه در تظاهراتی با تظاهرکنندگان تونس که اقداماتشان منجر به فرار رئیس جمهور آن کشور شد ، به خیابان ها ریختند .,the president,رئیس جمهور,"['رئیس', 'جمهور']",17,18,93,103
,,,,"&quot; The opening of the trial of the former dictator conforms with the aspirations of the Tunisian people to justice , but the importance of this trial demanded that all conditions for a right to a fair rial should have been met first , &quot; the groups said .",گروه ها گفتند : ' شروع محاکمه دیکتاتور سابق با آرمان های مردم تونس برای عدالت مطابقت دارد ، اما اهمیت این محاکمه مستلزم آن است که همه شرایط برای حق داشتن یک ریال منصفانه پیش از هر چیز برآورده شود .,the former dictator,دیکتاتور سابق,"['دیکتاتور', 'سابق']",7,8,30,43
,,,,"&quot; The opening of the trial of the former dictator conforms with the aspirations of the Tunisian people to justice , but the importance of this trial demanded that all conditions for a right to a fair rial should have been met first , &quot; the groups said .",گروه ها گفتند : ' شروع محاکمه دیکتاتور سابق با آرمان های مردم تونس برای عدالت مطابقت دارد ، اما اهمیت این محاکمه مستلزم آن است که همه شرایط برای حق داشتن یک ریال منصفانه پیش از هر چیز برآورده شود .,the groups,گروه ها,"['گروه', 'ها']",0,1,0,7
,,,,"The trial , one of three that are underway against Mursi , is part of a relentless government crackdown targeting him and his Muslim Brotherhood movement since his ouster by the army in July .",محاکمه یکی از سه حکمی است که علیه معاصران در حال انجام است و بخشی از سرکوب بی رحمانه دولت است که او و جنبش اخوان المسلمین را از زمان برکناری وی در ماه ژوئیه توسط ارتش مورد هدف قرار داده است .,his Muslim Brotherhood movement,جنبش اخوان المسلمین,"['جنبش', 'اخوان', 'المسلمین']",24,26,102,121
,,,,"The trial , one of three that are underway against Mursi , is part of a relentless government crackdown targeting him and his Muslim Brotherhood movement since his ouster by the army in July .",محاکمه یکی از سه حکمی است که علیه معاصران در حال انجام است و بخشی از سرکوب بی رحمانه دولت است که او و جنبش اخوان المسلمین را از زمان برکناری وی در ماه ژوئیه توسط ارتش مورد هدف قرار داده است .,the army,ارتش,['ارتش'],36,36,162,166
